TKR,C/P,STRIKE,OPTKR,EXPDAY
AAPL,P,65,AAPL  210618P00065000,2021-06-18
AAPL,P,67.5,AAPL  210618P00067500,2021-06-18
AAPL,P,70,AAPL  210618P00070000,2021-06-18
AAPL,P,71.25,AAPL  210618P00071250,2021-06-18
AAPL,P,72.5,AAPL  210618P00072500,2021-06-18
AAPL,P,75,AAPL  210618P00075000,2021-06-18
AAPL,P,77.5,AAPL  210618P00077500,2021-06-18
AAPL,P,80,AAPL  210618P00080000,2021-06-18
AAPL,P,82.5,AAPL  210618P00082500,2021-06-18
AAPL,P,85,AAPL  210618P00085000,2021-06-18
AAPL,P,87.5,AAPL  210618P00087500,2021-06-18
AAPL,P,90,AAPL  210618P00090000,2021-06-18
AAPL,P,92.5,AAPL  210618P00092500,2021-06-18
AAPL,P,95,AAPL  210618P00095000,2021-06-18
AAPL,P,97.5,AAPL  210618P00097500,2021-06-18
AAPL,P,100,AAPL  210618P00100000,2021-06-18
AAPL,P,102.5,AAPL  210618P00102500,2021-06-18
AAPL,P,105,AAPL  210618P00105000,2021-06-18
AAPL,P,107.5,AAPL  210618P00107500,2021-06-18
AAPL,P,110,AAPL  210618P00110000,2021-06-18
AAPL,P,112.5,AAPL  210618P00112500,2021-06-18
AAPL,P,115,AAPL  210618P00115000,2021-06-18
AAPL,P,117.5,AAPL  210618P00117500,2021-06-18
AAPL,P,120,AAPL  210618P00120000,2021-06-18
AAPL,P,121,AAPL  210618P00121000,2021-06-18
AAPL,P,122,AAPL  210618P00122000,2021-06-18
AAPL,P,122.5,AAPL  210618P00122500,2021-06-18
AAPL,P,123,AAPL  210618P00123000,2021-06-18
AAPL,P,124,AAPL  210618P00124000,2021-06-18
AAPL,P,125,AAPL  210618P00125000,2021-06-18
AAPL,P,126,AAPL  210618P00126000,2021-06-18
AAPL,P,126.04,"",2021-06-18
AAPL,P,128,AAPL  210618P00128000,2021-06-18
AAPL,P,130,AAPL  210618P00130000,2021-06-18
AAPL,P,135,AAPL  210618P00135000,2021-06-18
AAPL,P,140,AAPL  210618P00140000,2021-06-18
AAPL,P,145,AAPL  210618P00145000,2021-06-18
AAPL,P,150,AAPL  210618P00150000,2021-06-18
AAPL,C,100,AAPL  210716C00100000,2021-07-16
AAPL,C,110,AAPL  210716C00110000,2021-07-16
AAPL,C,115,AAPL  210716C00115000,2021-07-16
AAPL,C,120,AAPL  210716C00120000,2021-07-16
AAPL,C,125,AAPL  210716C00125000,2021-07-16
AAPL,C,126.04,"",2021-07-16
AAPL,C,130,AAPL  210716C00130000,2021-07-16
AAPL,C,135,AAPL  210716C00135000,2021-07-16
AAPL,C,140,AAPL  210716C00140000,2021-07-16
AAPL,C,145,AAPL  210716C00145000,2021-07-16
AAPL,C,150,AAPL  210716C00150000,2021-07-16
AAPL,C,155,AAPL  210716C00155000,2021-07-16
AAPL,C,160,AAPL  210716C00160000,2021-07-16
AAPL,C,165,AAPL  210716C00165000,2021-07-16
AAPL,C,170,AAPL  210716C00170000,2021-07-16
AAPL,C,175,AAPL  210716C00175000,2021-07-16
AAPL,C,180,AAPL  210716C00180000,2021-07-16
AAPL,C,185,AAPL  210716C00185000,2021-07-16
AAPL,C,190,AAPL  210716C00190000,2021-07-16
AAPL,C,200,AAPL  210716C00200000,2021-07-16
AAPL,C,220,AAPL  210716C00220000,2021-07-16
AAPL,P,85,AAPL  210716P00085000,2021-07-16
AAPL,P,90,AAPL  210716P00090000,2021-07-16
AAPL,P,95,AAPL  210716P00095000,2021-07-16
AAPL,P,100,AAPL  210716P00100000,2021-07-16
AAPL,P,105,AAPL  210716P00105000,2021-07-16
AAPL,P,110,AAPL  210716P00110000,2021-07-16
AAPL,P,115,AAPL  210716P00115000,2021-07-16
AAPL,P,120,AAPL  210716P00120000,2021-07-16
AAPL,P,125,AAPL  210716P00125000,2021-07-16
AAPL,P,126.04,"",2021-07-16
AAPL,P,130,AAPL  210716P00130000,2021-07-16
AAPL,P,135,AAPL  210716P00135000,2021-07-16
AAPL,P,140,AAPL  210716P00140000,2021-07-16
AAPL,P,145,AAPL  210716P00145000,2021-07-16
AAPL,P,150,AAPL  210716P00150000,2021-07-16
AAPL,C,120,AAPL  210820C00120000,2021-08-20
AAPL,C,125,AAPL  210820C00125000,2021-08-20
AAPL,C,126.04,"",2021-08-20
AAPL,C,130,AAPL  210820C00130000,2021-08-20
AAPL,C,135,AAPL  210820C00135000,2021-08-20
AAPL,C,140,AAPL  210820C00140000,2021-08-20
AAPL,C,145,AAPL  210820C00145000,2021-08-20
AAPL,C,150,AAPL  210820C00150000,2021-08-20
AAPL,C,155,AAPL  210820C00155000,2021-08-20
AAPL,C,160,AAPL  210820C00160000,2021-08-20
AAPL,C,165,AAPL  210820C00165000,2021-08-20
AAPL,C,170,AAPL  210820C00170000,2021-08-20
AAPL,C,175,AAPL  210820C00175000,2021-08-20
AAPL,C,200,AAPL  210820C00200000,2021-08-20
AAPL,P,100,AAPL  210820P00100000,2021-08-20
AAPL,P,105,AAPL  210820P00105000,2021-08-20
AAPL,P,110,AAPL  210820P00110000,2021-08-20
AAPL,P,115,AAPL  210820P00115000,2021-08-20
AAPL,P,120,AAPL  210820P00120000,2021-08-20
AAPL,P,125,AAPL  210820P00125000,2021-08-20
AAPL,P,126.04,"",2021-08-20
AAPL,P,130,AAPL  210820P00130000,2021-08-20
AAPL,P,135,AAPL  210820P00135000,2021-08-20
ABBV,C,112.42,"",2021-06-18
ABBV,C,115,ABBV  210618C00115000,2021-06-18
ABBV,C,120,ABBV  210618C00120000,2021-06-18
ABBV,P,100,ABBV  210618P00100000,2021-06-18
ABBV,P,105,ABBV  210618P00105000,2021-06-18
ABBV,P,112.42,"",2021-06-18
ABBV,C,110,ABBV  210716C00110000,2021-07-16
ABBV,C,112.42,"",2021-07-16
ABBV,C,115,ABBV  210716C00115000,2021-07-16
ABBV,C,120,ABBV  210716C00120000,2021-07-16
ABBV,C,125,ABBV  210716C00125000,2021-07-16
ABBV,P,70,ABBV  210716P00070000,2021-07-16
ABBV,P,75,ABBV  210716P00075000,2021-07-16
ABBV,P,80,ABBV  210716P00080000,2021-07-16
ABBV,P,90,ABBV  210716P00090000,2021-07-16
ABBV,P,100,ABBV  210716P00100000,2021-07-16
ABBV,P,105,ABBV  210716P00105000,2021-07-16
ABBV,P,110,ABBV  210716P00110000,2021-07-16
ABBV,P,112.42,"",2021-07-16
ABBV,P,115,ABBV  210716P00115000,2021-07-16
ABBV,C,112.42,"",2021-08-20
ABBV,C,115,ABBV  210820C00115000,2021-08-20
ABBV,C,120,ABBV  210820C00120000,2021-08-20
ABBV,C,125,ABBV  210820C00125000,2021-08-20
ABCL,P,25,ABCL  210618P00025000,2021-06-18
ABCL,P,25.96,"",2021-06-18
ABEO,C,1.7,"",2021-06-18
ABEO,C,2.5,ABEO  210618C00002500,2021-06-18
ABNB,C,140,ABNB  210618C00140000,2021-06-18
ABNB,C,150,ABNB  210618C00150000,2021-06-18
ABNB,C,150.75,"",2021-06-18
ABNB,C,155,ABNB  210618C00155000,2021-06-18
ABNB,C,160,ABNB  210618C00160000,2021-06-18
ABNB,C,170,ABNB  210618C00170000,2021-06-18
ABNB,C,175,ABNB  210618C00175000,2021-06-18
ABNB,C,180,ABNB  210618C00180000,2021-06-18
ABNB,C,200,ABNB  210618C00200000,2021-06-18
ABNB,C,210,ABNB  210618C00210000,2021-06-18
ABNB,C,220,ABNB  210618C00220000,2021-06-18
ABNB,P,130,ABNB  210618P00130000,2021-06-18
ABNB,P,135,ABNB  210618P00135000,2021-06-18
ABNB,P,140,ABNB  210618P00140000,2021-06-18
ABNB,P,150,ABNB  210618P00150000,2021-06-18
ABNB,P,150.75,"",2021-06-18
ABNB,P,170,ABNB  210618P00170000,2021-06-18
ABNB,C,135,ABNB  210716C00135000,2021-07-16
ABNB,C,140,ABNB  210716C00140000,2021-07-16
ABNB,C,150,ABNB  210716C00150000,2021-07-16
ABNB,C,150.75,"",2021-07-16
ABNB,C,155,ABNB  210716C00155000,2021-07-16
ABNB,C,160,ABNB  210716C00160000,2021-07-16
ABNB,C,165,ABNB  210716C00165000,2021-07-16
ABNB,C,175,ABNB  210716C00175000,2021-07-16
ABNB,C,180,ABNB  210716C00180000,2021-07-16
ABNB,C,195,ABNB  210716C00195000,2021-07-16
ABNB,C,200,ABNB  210716C00200000,2021-07-16
ABNB,P,125,ABNB  210716P00125000,2021-07-16
ABNB,P,130,ABNB  210716P00130000,2021-07-16
ABNB,P,135,ABNB  210716P00135000,2021-07-16
ABNB,P,140,ABNB  210716P00140000,2021-07-16
ABNB,P,150,ABNB  210716P00150000,2021-07-16
ABNB,P,150.75,"",2021-07-16
ABR,C,18.59,"",2021-07-16
ABR,C,20,ABR   210716C00020000,2021-07-16
ABR,P,10,ABR   210716P00010000,2021-07-16
ABR,P,12.5,ABR   210716P00012500,2021-07-16
ABR,P,18.59,"",2021-07-16
ABT,C,109.42,"",2021-06-18
ABT,C,125,ABT   210618C00125000,2021-06-18
ABT,P,107,ABT   210618P00107000,2021-06-18
ABT,P,109.42,"",2021-06-18
ABUS,C,2.94,"",2021-06-18
ABUS,C,5,ABUS  210618C00005000,2021-06-18
ABUS,P,2.5,ABUS  210618P00002500,2021-06-18
ABUS,P,2.94,"",2021-06-18
ABUS,P,5,ABUS  210618P00005000,2021-06-18
ACB,C,6,ACB   210618C00006000,2021-06-18
ACB,C,8,ACB   210618C00008000,2021-06-18
ACB,C,9,ACB   210618C00009000,2021-06-18
ACB,C,9.16,"",2021-06-18
ACB,C,9.5,ACB   210618C00009500,2021-06-18
ACB,C,10,ACB   210618C00010000,2021-06-18
ACB,C,11,ACB   210618C00011000,2021-06-18
ACB,C,12,ACB   210618C00012000,2021-06-18
ACB,C,13,ACB   210618C00013000,2021-06-18
ACB,C,14,ACB   210618C00014000,2021-06-18
ACB,C,15,ACB   210618C00015000,2021-06-18
ACB,C,16,ACB   210618C00016000,2021-06-18
ACB,C,19,ACB   210618C00019000,2021-06-18
ACB,C,20,ACB   210618C00020000,2021-06-18
ACB,C,25,ACB   210618C00025000,2021-06-18
ACB,C,30,ACB   210618C00030000,2021-06-18
ACB,P,5,ACB   210618P00005000,2021-06-18
ACB,P,6,ACB   210618P00006000,2021-06-18
ACB,P,8,ACB   210618P00008000,2021-06-18
ACB,P,9,ACB   210618P00009000,2021-06-18
ACB,P,9.16,"",2021-06-18
ACB,P,10,ACB   210618P00010000,2021-06-18
ACB,P,12,ACB   210618P00012000,2021-06-18
ACB,P,14,ACB   210618P00014000,2021-06-18
ACB,P,15,ACB   210618P00015000,2021-06-18
ACB,P,20,ACB   210618P00020000,2021-06-18
ACB,C,9,ACB   210716C00009000,2021-07-16
ACB,C,9.16,"",2021-07-16
ACI,P,17.5,ACI   210716P00017500,2021-07-16
ACI,P,20.15,"",2021-07-16
ACMR,P,70,ACMR  210618P00070000,2021-06-18
ACMR,P,83.97,"",2021-06-18
ACRX,C,1.47,"",2021-06-18
ACRX,C,2.5,ACRX  210618C00002500,2021-06-18
ACRX,C,5,ACRX  210618C00005000,2021-06-18
ADBE,C,420,ADBE  210618C00420000,2021-06-18
ADBE,C,500,ADBE  210618C00500000,2021-06-18
ADBE,C,505.33,"",2021-06-18
ADBE,P,450,ADBE  210618P00450000,2021-06-18
ADBE,P,505.33,"",2021-06-18
ADI,C,165,ADI   210618C00165000,2021-06-18
ADI,C,165.66,"",2021-06-18
ADI,C,180,ADI   210618C00180000,2021-06-18
ADI,P,135,ADI   210618P00135000,2021-06-18
ADI,P,140,ADI   210618P00140000,2021-06-18
ADI,P,145,ADI   210618P00145000,2021-06-18
ADI,P,150,ADI   210618P00150000,2021-06-18
ADI,P,165.66,"",2021-06-18
ADM,C,65,ADM   210618C00065000,2021-06-18
ADM,C,68.73,"",2021-06-18
ADMA,C,1.74,"",2021-06-18
ADMA,C,2,ADMA  210618C00002000,2021-06-18
ADMA,P,1.74,"",2021-08-20
ADMA,P,2.5,ADMA  210820P00002500,2021-08-20
ADMP,C,0.99,"",2021-06-18
ADMP,C,1,ADMP  210618C00001000,2021-06-18
ADMP,C,2.5,ADMP  210618C00002500,2021-06-18
ADMP,P,0.99,"",2021-06-18
ADMP,P,1,ADMP  210618P00001000,2021-06-18
ADN,C,10.37,"",2021-06-18
ADN,C,12.5,ADN   210618C00012500,2021-06-18
ADN,C,15,ADN   210618C00015000,2021-06-18
ADN,C,17.5,ADN   210618C00017500,2021-06-18
ADN,P,10,ADN   210618P00010000,2021-06-18
ADN,P,10.37,"",2021-06-18
ADNT,C,40,ADNT  210716C00040000,2021-07-16
ADNT,C,45,ADNT  210716C00045000,2021-07-16
ADNT,C,50,ADNT  210716C00050000,2021-07-16
ADNT,C,52.8,"",2021-07-16
ADNT,C,55,ADNT  210716C00055000,2021-07-16
ADS,C,117.93,"",2021-06-18
ADS,C,130,ADS   210618C00130000,2021-06-18
ADS,C,140,ADS   210618C00140000,2021-06-18
ADT,C,10,ADT   210820C00010000,2021-08-20
ADT,C,11,"",2021-08-20
ADT,C,12.5,ADT   210820C00012500,2021-08-20
ADTX,C,2.8,"",2021-08-20
ADTX,C,7.5,ADTX  210820C00007500,2021-08-20
ADTX,P,2.8,"",2021-08-20
ADTX,P,5,ADTX  210820P00005000,2021-08-20
ADVM,C,3.37,"",2021-06-18
ADVM,C,5,ADVM  210618C00005000,2021-06-18
ADVM,C,15,ADVM  210618C00015000,2021-06-18
