TKR,C/P,STRIKE,OPTKR,EXPDAY
IDEX,C,7,IDEX  210716C00007000,2021-07-16
IDEX,C,8,IDEX  210716C00008000,2021-07-16
IDEX,C,9,IDEX  210716C00009000,2021-07-16
IDEX,C,10,IDEX  210716C00010000,2021-07-16
IDEX,P,2.5,IDEX  210716P00002500,2021-07-16
IDEX,P,2.87,"",2021-07-16
IDEX,P,3,IDEX  210716P00003000,2021-07-16
IEA,C,12.36,"",2021-08-20
IEA,C,17.5,IEA   210820C00017500,2021-08-20
IEA,C,20,IEA   210820C00020000,2021-08-20
IGT,C,20,IGT   210618C00020000,2021-06-18
IGT,C,23,IGT   210618C00023000,2021-06-18
IGT,C,25,IGT   210618C00025000,2021-06-18
IGT,C,25.51,"",2021-06-18
IGT,C,27,IGT   210618C00027000,2021-06-18
IGT,C,28,IGT   210618C00028000,2021-06-18
IGT,C,25,IGT   210716C00025000,2021-07-16
IGT,C,25.51,"",2021-07-16
IGT,C,30,IGT   210716C00030000,2021-07-16
IHRT,C,22.5,IHRT  210618C00022500,2021-06-18
IHRT,C,23.59,"",2021-06-18
IHRT,C,25,IHRT  210618C00025000,2021-06-18
IHRT,C,23.59,"",2021-07-16
IHRT,C,25,IHRT  210716C00025000,2021-07-16
IIVI,C,65,IIVI  210618C00065000,2021-06-18
IIVI,C,69.29,"",2021-06-18
IIVI,C,69.29,"",2021-07-16
IIVI,C,80,IIVI  210716C00080000,2021-07-16
IIVI,C,85,IIVI  210716C00085000,2021-07-16
IIVI,P,60,IIVI  210716P00060000,2021-07-16
IIVI,P,69.29,"",2021-07-16
IMAX,C,21.49,"",2021-06-18
IMAX,C,24,IMAX  210618C00024000,2021-06-18
IMGN,C,5.8,"",2021-07-16
IMGN,C,10,IMGN  210716C00010000,2021-07-16
IMVT,C,9.9,"",2021-07-16
IMVT,C,25,IMVT  210716C00025000,2021-07-16
IMVT,C,30,IMVT  210716C00030000,2021-07-16
IMVT,C,40,IMVT  210716C00040000,2021-07-16
IMVT,P,9.9,"",2021-07-16
IMVT,P,10,IMVT  210716P00010000,2021-07-16
INFN,C,10,INFN  210716C00010000,2021-07-16
INFN,C,10.24,"",2021-07-16
INFN,C,11,INFN  210716C00011000,2021-07-16
INFY,C,19,INFY  210716C00019000,2021-07-16
INFY,C,19.27,"",2021-07-16
INFY,C,20,INFY  210716C00020000,2021-07-16
INFY,P,17,INFY  210716P00017000,2021-07-16
INFY,P,19,INFY  210716P00019000,2021-07-16
INFY,P,19.27,"",2021-07-16
INO,C,7.93,"",2021-06-18
INO,C,8,INO   210618C00008000,2021-06-18
INO,C,9,INO   210618C00009000,2021-06-18
INO,C,10,INO   210618C00010000,2021-06-18
INO,C,17,INO   210618C00017000,2021-06-18
INO,P,7.93,"",2021-06-18
INO,P,10,INO   210618P00010000,2021-06-18
INO,C,7.93,"",2021-08-20
INO,C,10,INO   210820C00010000,2021-08-20
INO,C,15,INO   210820C00015000,2021-08-20
INO,P,4,INO   210820P00004000,2021-08-20
INO,P,7,INO   210820P00007000,2021-08-20
INO,P,7.93,"",2021-08-20
INOV,C,30,INOV  210618C00030000,2021-06-18
INOV,C,31.59,"",2021-06-18
INSG,C,9.67,"",2021-06-18
INSG,C,10,INSG  210618C00010000,2021-06-18
INSG,C,12.5,INSG  210618C00012500,2021-06-18
INSG,C,15,INSG  210618C00015000,2021-06-18
INSG,C,17.5,INSG  210618C00017500,2021-06-18
INSG,C,20,INSG  210618C00020000,2021-06-18
INSG,C,30,INSG  210618C00030000,2021-06-18
INSG,P,7.5,INSG  210618P00007500,2021-06-18
INSG,P,9.67,"",2021-06-18
INSG,P,12.5,INSG  210618P00012500,2021-06-18
INSG,C,9.67,"",2021-07-16
INSG,C,10,INSG  210716C00010000,2021-07-16
INTC,C,50,INTC  210618C00050000,2021-06-18
INTC,C,52.5,INTC  210618C00052500,2021-06-18
INTC,C,55,INTC  210618C00055000,2021-06-18
INTC,C,57,INTC  210618C00057000,2021-06-18
INTC,C,57.44,"",2021-06-18
INTC,C,57.5,INTC  210618C00057500,2021-06-18
INTC,C,59,INTC  210618C00059000,2021-06-18
INTC,C,60,INTC  210618C00060000,2021-06-18
INTC,C,62.5,INTC  210618C00062500,2021-06-18
INTC,C,65,INTC  210618C00065000,2021-06-18
INTC,C,67.5,INTC  210618C00067500,2021-06-18
INTC,C,70,INTC  210618C00070000,2021-06-18
INTC,C,72.5,INTC  210618C00072500,2021-06-18
INTC,C,75,INTC  210618C00075000,2021-06-18
INTC,C,80,INTC  210618C00080000,2021-06-18
INTC,C,85,INTC  210618C00085000,2021-06-18
INTC,C,90,INTC  210618C00090000,2021-06-18
INTC,P,30,INTC  210618P00030000,2021-06-18
INTC,P,32.5,INTC  210618P00032500,2021-06-18
INTC,P,35,INTC  210618P00035000,2021-06-18
INTC,P,37.5,INTC  210618P00037500,2021-06-18
INTC,P,40,INTC  210618P00040000,2021-06-18
INTC,P,42.5,INTC  210618P00042500,2021-06-18
INTC,P,45,INTC  210618P00045000,2021-06-18
INTC,P,47.5,INTC  210618P00047500,2021-06-18
INTC,P,50,INTC  210618P00050000,2021-06-18
INTC,P,52.5,INTC  210618P00052500,2021-06-18
INTC,P,53,INTC  210618P00053000,2021-06-18
INTC,P,55,INTC  210618P00055000,2021-06-18
INTC,P,57.44,"",2021-06-18
INTC,P,57.5,INTC  210618P00057500,2021-06-18
INTC,P,60,INTC  210618P00060000,2021-06-18
INTC,P,62.5,INTC  210618P00062500,2021-06-18
INTC,P,65,INTC  210618P00065000,2021-06-18
INTC,C,50,INTC  210716C00050000,2021-07-16
INTC,C,52.5,INTC  210716C00052500,2021-07-16
INTC,C,55,INTC  210716C00055000,2021-07-16
INTC,C,57.44,"",2021-07-16
INTC,C,57.5,INTC  210716C00057500,2021-07-16
INTC,C,60,INTC  210716C00060000,2021-07-16
INTC,C,62.5,INTC  210716C00062500,2021-07-16
INTC,C,65,INTC  210716C00065000,2021-07-16
INTC,C,67.5,INTC  210716C00067500,2021-07-16
INTC,C,70,INTC  210716C00070000,2021-07-16
INTC,C,75,INTC  210716C00075000,2021-07-16
INTC,P,35,INTC  210716P00035000,2021-07-16
INTC,P,37.5,INTC  210716P00037500,2021-07-16
INTC,P,42.5,INTC  210716P00042500,2021-07-16
INTC,P,45,INTC  210716P00045000,2021-07-16
INTC,P,47.5,INTC  210716P00047500,2021-07-16
INTC,P,50,INTC  210716P00050000,2021-07-16
INTC,P,52.5,INTC  210716P00052500,2021-07-16
INTC,P,55,INTC  210716P00055000,2021-07-16
INTC,P,57.44,"",2021-07-16
INTC,P,57.5,INTC  210716P00057500,2021-07-16
INTC,P,60,INTC  210716P00060000,2021-07-16
INTC,P,62.5,INTC  210716P00062500,2021-07-16
INTC,C,52.5,INTC  210820C00052500,2021-08-20
INTC,C,55,INTC  210820C00055000,2021-08-20
INTC,C,57.44,"",2021-08-20
INTC,C,57.5,INTC  210820C00057500,2021-08-20
INTC,C,60,INTC  210820C00060000,2021-08-20
INTC,C,62.5,INTC  210820C00062500,2021-08-20
INTC,C,65,INTC  210820C00065000,2021-08-20
INTC,C,67.5,INTC  210820C00067500,2021-08-20
INTC,C,70,INTC  210820C00070000,2021-08-20
INTC,C,75,INTC  210820C00075000,2021-08-20
INTC,C,80,INTC  210820C00080000,2021-08-20
INTC,P,42.5,INTC  210820P00042500,2021-08-20
INTC,P,50,INTC  210820P00050000,2021-08-20
INTC,P,55,INTC  210820P00055000,2021-08-20
INTC,P,57.44,"",2021-08-20
INTC,P,57.5,INTC  210820P00057500,2021-08-20
INTC,P,62.5,INTC  210820P00062500,2021-08-20
INVA,C,12.98,"",2021-06-18
INVA,C,15,INVA  210618C00015000,2021-06-18
IO,C,2.19,"",2021-08-20
IO,C,5,IO    210820C00005000,2021-08-20
IP,C,64.77,"",2021-06-18
IP,C,67.5,IP    210618C00067500,2021-06-18
IP,C,64.77,"",2021-07-16
IP,C,65,IP    210716C00065000,2021-07-16
IQ,C,14.52,"",2021-06-18
IQ,C,15,IQ    210618C00015000,2021-06-18
IQ,C,17,IQ    210618C00017000,2021-06-18
IQ,C,17.5,IQ    210618C00017500,2021-06-18
IQ,C,20,IQ    210618C00020000,2021-06-18
IQ,C,22.5,IQ    210618C00022500,2021-06-18
IQ,C,25,IQ    210618C00025000,2021-06-18
IQ,C,27.5,IQ    210618C00027500,2021-06-18
IQ,C,30,IQ    210618C00030000,2021-06-18
IQ,C,32.5,IQ    210618C00032500,2021-06-18
IQ,C,35,IQ    210618C00035000,2021-06-18
IQ,P,5,IQ    210618P00005000,2021-06-18
IQ,P,10,IQ    210618P00010000,2021-06-18
IQ,P,12.5,IQ    210618P00012500,2021-06-18
IQ,P,14,IQ    210618P00014000,2021-06-18
IQ,P,14.52,"",2021-06-18
IQ,P,15,IQ    210618P00015000,2021-06-18
IQ,P,17.5,IQ    210618P00017500,2021-06-18
IQ,P,20,IQ    210618P00020000,2021-06-18
IQ,P,22.5,IQ    210618P00022500,2021-06-18
IQ,P,25,IQ    210618P00025000,2021-06-18
IQ,C,14.52,"",2021-07-16
IQ,C,15,IQ    210716C00015000,2021-07-16
IQ,C,17.5,IQ    210716C00017500,2021-07-16
IQ,C,20,IQ    210716C00020000,2021-07-16
IQ,C,22.5,IQ    210716C00022500,2021-07-16
IQ,C,25,IQ    210716C00025000,2021-07-16
IQ,P,12.5,IQ    210716P00012500,2021-07-16
IQ,P,14.52,"",2021-07-16
IQ,P,15,IQ    210716P00015000,2021-07-16
IR,C,49.26,"",2021-06-18
IR,C,50,IR    210618C00050000,2021-06-18
IRBT,C,97.8,"",2021-06-18
IRBT,C,100,IRBT  210618C00100000,2021-06-18
IRBT,C,105,IRBT  210618C00105000,2021-06-18
IRBT,P,97.8,"",2021-08-20
IRBT,P,100,IRBT  210820P00100000,2021-08-20
IRDM,C,37.27,"",2021-07-16
IRDM,C,60,IRDM  210716C00060000,2021-07-16
IRM,C,45,IRM   210618C00045000,2021-06-18
IRM,C,45.66,"",2021-06-18
IRM,C,37.5,IRM   210716C00037500,2021-07-16
IRM,C,40,IRM   210716C00040000,2021-07-16
IRM,C,42.5,IRM   210716C00042500,2021-07-16
IRM,C,45,IRM   210716C00045000,2021-07-16
IRM,C,45.66,"",2021-07-16
ISEE,C,6.66,"",2021-06-18
ISEE,C,7.5,ISEE  210618C00007500,2021-06-18
ISEE,P,2.5,ISEE  210618P00002500,2021-06-18
ISEE,P,6.66,"",2021-06-18
ITP,C,0.5,"",2021-08-20
ITP,C,1,ITP   210820C00001000,2021-08-20
ITP,C,2.5,ITP   210820C00002500,2021-08-20
IVR,C,3,IVR   210618C00003000,2021-06-18
IVR,C,3.37,"",2021-06-18
IVR,C,3.5,IVR   210618C00003500,2021-06-18
IVR,C,4,IVR   210618C00004000,2021-06-18
IVR,C,4.5,IVR   210618C00004500,2021-06-18
IVR,C,5,IVR   210618C00005000,2021-06-18
IVR,C,5.5,IVR   210618C00005500,2021-06-18
IVR,C,7,IVR   210618C00007000,2021-06-18
IVR,P,2.5,IVR   210618P00002500,2021-06-18
IVR,P,3,IVR   210618P00003000,2021-06-18
IVR,P,3.37,"",2021-06-18
IVR,P,3.5,IVR   210618P00003500,2021-06-18
IVR,C,2,IVR   210716C00002000,2021-07-16
IVR,C,2.5,IVR   210716C00002500,2021-07-16
IVR,C,3.37,"",2021-07-16
IVR,C,3.5,IVR   210716C00003500,2021-07-16
IVR,C,4,IVR   210716C00004000,2021-07-16
IVR,C,4.5,IVR   210716C00004500,2021-07-16
IVR,C,5,IVR   210716C00005000,2021-07-16
IVR,C,5.5,IVR   210716C00005500,2021-07-16
IVR,C,6,IVR   210716C00006000,2021-07-16
IVR,C,8,IVR   210716C00008000,2021-07-16
IVR,P,3,IVR   210716P00003000,2021-07-16
IVR,P,3.37,"",2021-07-16
IVR,P,3.5,IVR   210716P00003500,2021-07-16
IVR,P,4,IVR   210716P00004000,2021-07-16
IWD,C,162.47,"",2021-08-20
IWD,C,180,IWD   210820C00180000,2021-08-20
IWF,P,245,IWF   210618P00245000,2021-06-18
IWF,P,256.96,"",2021-06-18
IWF,P,215,IWF   210716P00215000,2021-07-16
IWF,P,245,IWF   210716P00245000,2021-07-16
IWF,P,250,IWF   210716P00250000,2021-07-16
IWF,P,256.96,"",2021-07-16
IWM,C,135,IWM   210618C00135000,2021-06-18
IWM,C,140,IWM   210618C00140000,2021-06-18
IWM,C,145,IWM   210618C00145000,2021-06-18
IWM,C,147,IWM   210618C00147000,2021-06-18
IWM,C,150,IWM   210618C00150000,2021-06-18
IWM,C,152,IWM   210618C00152000,2021-06-18
IWM,C,155,IWM   210618C00155000,2021-06-18
IWM,C,160,IWM   210618C00160000,2021-06-18
IWM,C,163,IWM   210618C00163000,2021-06-18
IWM,C,165,IWM   210618C00165000,2021-06-18
IWM,C,170,IWM   210618C00170000,2021-06-18
IWM,C,175,IWM   210618C00175000,2021-06-18
IWM,C,180,IWM   210618C00180000,2021-06-18
IWM,C,185,IWM   210618C00185000,2021-06-18
IWM,C,190,IWM   210618C00190000,2021-06-18
IWM,C,200,IWM   210618C00200000,2021-06-18
IWM,C,210,IWM   210618C00210000,2021-06-18
IWM,C,215,IWM   210618C00215000,2021-06-18
IWM,C,216,IWM   210618C00216000,2021-06-18
IWM,C,218,IWM   210618C00218000,2021-06-18
IWM,C,220,IWM   210618C00220000,2021-06-18
IWM,C,221,IWM   210618C00221000,2021-06-18
IWM,C,222,IWM   210618C00222000,2021-06-18
IWM,C,223,IWM   210618C00223000,2021-06-18
IWM,C,224,IWM   210618C00224000,2021-06-18
IWM,C,225,IWM   210618C00225000,2021-06-18
IWM,C,226,IWM   210618C00226000,2021-06-18
IWM,C,227,IWM   210618C00227000,2021-06-18
IWM,C,227.59,"",2021-06-18
IWM,C,228,IWM   210618C00228000,2021-06-18
IWM,C,229,IWM   210618C00229000,2021-06-18
IWM,C,230,IWM   210618C00230000,2021-06-18
IWM,C,231,IWM   210618C00231000,2021-06-18
IWM,C,232,IWM   210618C00232000,2021-06-18
IWM,C,233,IWM   210618C00233000,2021-06-18
IWM,C,234,IWM   210618C00234000,2021-06-18
IWM,C,235,IWM   210618C00235000,2021-06-18
IWM,C,236,IWM   210618C00236000,2021-06-18
IWM,C,237,IWM   210618C00237000,2021-06-18
IWM,C,238,IWM   210618C00238000,2021-06-18
IWM,C,240,IWM   210618C00240000,2021-06-18
IWM,C,244,IWM   210618C00244000,2021-06-18
IWM,C,245,IWM   210618C00245000,2021-06-18
IWM,C,250,IWM   210618C00250000,2021-06-18
IWM,C,260,IWM   210618C00260000,2021-06-18
IWM,C,265,IWM   210618C00265000,2021-06-18
IWM,C,270,IWM   210618C00270000,2021-06-18
IWM,C,275,IWM   210618C00275000,2021-06-18
IWM,P,55,IWM   210618P00055000,2021-06-18
IWM,P,60,IWM   210618P00060000,2021-06-18
IWM,P,70,IWM   210618P00070000,2021-06-18
IWM,P,75,IWM   210618P00075000,2021-06-18
IWM,P,85,IWM   210618P00085000,2021-06-18
IWM,P,90,IWM   210618P00090000,2021-06-18
IWM,P,100,IWM   210618P00100000,2021-06-18
IWM,P,105,IWM   210618P00105000,2021-06-18
IWM,P,110,IWM   210618P00110000,2021-06-18
IWM,P,115,IWM   210618P00115000,2021-06-18
IWM,P,120,IWM   210618P00120000,2021-06-18
IWM,P,125,IWM   210618P00125000,2021-06-18
IWM,P,130,IWM   210618P00130000,2021-06-18
IWM,P,132,IWM   210618P00132000,2021-06-18
IWM,P,135,IWM   210618P00135000,2021-06-18
IWM,P,136,IWM   210618P00136000,2021-06-18
IWM,P,138,IWM   210618P00138000,2021-06-18
IWM,P,140,IWM   210618P00140000,2021-06-18
IWM,P,143,IWM   210618P00143000,2021-06-18
IWM,P,144,IWM   210618P00144000,2021-06-18
IWM,P,145,IWM   210618P00145000,2021-06-18
IWM,P,147,IWM   210618P00147000,2021-06-18
IWM,P,148,IWM   210618P00148000,2021-06-18
IWM,P,150,IWM   210618P00150000,2021-06-18
IWM,P,152,IWM   210618P00152000,2021-06-18
IWM,P,153,IWM   210618P00153000,2021-06-18
IWM,P,154,IWM   210618P00154000,2021-06-18
IWM,P,155,IWM   210618P00155000,2021-06-18
IWM,P,156,IWM   210618P00156000,2021-06-18
IWM,P,159,IWM   210618P00159000,2021-06-18
IWM,P,160,IWM   210618P00160000,2021-06-18
IWM,P,162,IWM   210618P00162000,2021-06-18
IWM,P,165,IWM   210618P00165000,2021-06-18
IWM,P,167,IWM   210618P00167000,2021-06-18
IWM,P,170,IWM   210618P00170000,2021-06-18
IWM,P,172,IWM   210618P00172000,2021-06-18
IWM,P,173,IWM   210618P00173000,2021-06-18
IWM,P,175,IWM   210618P00175000,2021-06-18
IWM,P,180,IWM   210618P00180000,2021-06-18
IWM,P,182,IWM   210618P00182000,2021-06-18
IWM,P,184,IWM   210618P00184000,2021-06-18
IWM,P,185,IWM   210618P00185000,2021-06-18
IWM,P,187,IWM   210618P00187000,2021-06-18
IWM,P,188,IWM   210618P00188000,2021-06-18
IWM,P,190,IWM   210618P00190000,2021-06-18
IWM,P,191,IWM   210618P00191000,2021-06-18
IWM,P,192,IWM   210618P00192000,2021-06-18
IWM,P,193,IWM   210618P00193000,2021-06-18
IWM,P,195,IWM   210618P00195000,2021-06-18
IWM,P,196,IWM   210618P00196000,2021-06-18
IWM,P,197,IWM   210618P00197000,2021-06-18
IWM,P,198,IWM   210618P00198000,2021-06-18
IWM,P,199,IWM   210618P00199000,2021-06-18
IWM,P,200,IWM   210618P00200000,2021-06-18
IWM,P,201,IWM   210618P00201000,2021-06-18
IWM,P,202,IWM   210618P00202000,2021-06-18
IWM,P,203,IWM   210618P00203000,2021-06-18
IWM,P,204,IWM   210618P00204000,2021-06-18
IWM,P,205,IWM   210618P00205000,2021-06-18
IWM,P,206,IWM   210618P00206000,2021-06-18
IWM,P,207,IWM   210618P00207000,2021-06-18
IWM,P,208,IWM   210618P00208000,2021-06-18
IWM,P,209,IWM   210618P00209000,2021-06-18
IWM,P,210,IWM   210618P00210000,2021-06-18
IWM,P,211,IWM   210618P00211000,2021-06-18
IWM,P,212,IWM   210618P00212000,2021-06-18
IWM,P,213,IWM   210618P00213000,2021-06-18
IWM,P,214,IWM   210618P00214000,2021-06-18
IWM,P,215,IWM   210618P00215000,2021-06-18
IWM,P,216,IWM   210618P00216000,2021-06-18
IWM,P,217,IWM   210618P00217000,2021-06-18
IWM,P,218,IWM   210618P00218000,2021-06-18
IWM,P,219,IWM   210618P00219000,2021-06-18
IWM,P,220,IWM   210618P00220000,2021-06-18
IWM,P,221,IWM   210618P00221000,2021-06-18
IWM,P,222,IWM   210618P00222000,2021-06-18
IWM,P,223,IWM   210618P00223000,2021-06-18
IWM,P,224,IWM   210618P00224000,2021-06-18
IWM,P,225,IWM   210618P00225000,2021-06-18
IWM,P,226,IWM   210618P00226000,2021-06-18
IWM,P,227,IWM   210618P00227000,2021-06-18
IWM,P,227.59,"",2021-06-18
IWM,P,228,IWM   210618P00228000,2021-06-18
IWM,P,230,IWM   210618P00230000,2021-06-18
IWM,P,231,IWM   210618P00231000,2021-06-18
IWM,P,235,IWM   210618P00235000,2021-06-18
IWM,P,240,IWM   210618P00240000,2021-06-18
IWM,P,250,IWM   210618P00250000,2021-06-18
IWM,C,220,IWM   210716C00220000,2021-07-16
IWM,C,221,IWM   210716C00221000,2021-07-16
IWM,C,222,IWM   210716C00222000,2021-07-16
IWM,C,223,IWM   210716C00223000,2021-07-16
IWM,C,224,IWM   210716C00224000,2021-07-16
IWM,C,225,IWM   210716C00225000,2021-07-16
IWM,C,227.59,"",2021-07-16
IWM,C,228,IWM   210716C00228000,2021-07-16
IWM,C,230,IWM   210716C00230000,2021-07-16
IWM,C,235,IWM   210716C00235000,2021-07-16
IWM,C,237,IWM   210716C00237000,2021-07-16
IWM,C,238,IWM   210716C00238000,2021-07-16
IWM,C,240,IWM   210716C00240000,2021-07-16
IWM,C,245,IWM   210716C00245000,2021-07-16
IWM,C,250,IWM   210716C00250000,2021-07-16
IWM,P,115,IWM   210716P00115000,2021-07-16
IWM,P,167,IWM   210716P00167000,2021-07-16
IWM,P,185,IWM   210716P00185000,2021-07-16
IWM,P,189,IWM   210716P00189000,2021-07-16
IWM,P,190,IWM   210716P00190000,2021-07-16
IWM,P,191,IWM   210716P00191000,2021-07-16
IWM,P,193,IWM   210716P00193000,2021-07-16
IWM,P,195,IWM   210716P00195000,2021-07-16
IWM,P,198,IWM   210716P00198000,2021-07-16
IWM,P,200,IWM   210716P00200000,2021-07-16
IWM,P,205,IWM   210716P00205000,2021-07-16
IWM,P,207,IWM   210716P00207000,2021-07-16
IWM,P,208,IWM   210716P00208000,2021-07-16
IWM,P,209,IWM   210716P00209000,2021-07-16
IWM,P,210,IWM   210716P00210000,2021-07-16
IWM,P,212,IWM   210716P00212000,2021-07-16
IWM,P,213,IWM   210716P00213000,2021-07-16
IWM,P,214,IWM   210716P00214000,2021-07-16
IWM,P,215,IWM   210716P00215000,2021-07-16
IWM,P,216,IWM   210716P00216000,2021-07-16
IWM,P,217,IWM   210716P00217000,2021-07-16
IWM,P,219,IWM   210716P00219000,2021-07-16
IWM,P,220,IWM   210716P00220000,2021-07-16
IWM,P,221,IWM   210716P00221000,2021-07-16
IWM,P,223,IWM   210716P00223000,2021-07-16
IWM,P,225,IWM   210716P00225000,2021-07-16
IWM,P,227.59,"",2021-07-16
IWM,P,250,IWM   210716P00250000,2021-07-16
IWM,C,225,IWM   210820C00225000,2021-08-20
IWM,C,227.59,"",2021-08-20
IWM,C,230,IWM   210820C00230000,2021-08-20
IWM,C,233,IWM   210820C00233000,2021-08-20
IWM,C,236,IWM   210820C00236000,2021-08-20
IWM,C,240,IWM   210820C00240000,2021-08-20
IWM,C,243,IWM   210820C00243000,2021-08-20
IWM,C,244,IWM   210820C00244000,2021-08-20
IWM,C,270,IWM   210820C00270000,2021-08-20
IWM,C,300,IWM   210820C00300000,2021-08-20
IWM,C,305,IWM   210820C00305000,2021-08-20
IWM,P,110,IWM   210820P00110000,2021-08-20
IWM,P,140,IWM   210820P00140000,2021-08-20
IWM,P,145,IWM   210820P00145000,2021-08-20
IWM,P,160,IWM   210820P00160000,2021-08-20
IWM,P,174,IWM   210820P00174000,2021-08-20
IWM,P,180,IWM   210820P00180000,2021-08-20
IWM,P,185,IWM   210820P00185000,2021-08-20
IWM,P,190,IWM   210820P00190000,2021-08-20
IWM,P,200,IWM   210820P00200000,2021-08-20
IWM,P,205,IWM   210820P00205000,2021-08-20
IWM,P,210,IWM   210820P00210000,2021-08-20
IWM,P,215,IWM   210820P00215000,2021-08-20
IWM,P,217,IWM   210820P00217000,2021-08-20
IWM,P,220,IWM   210820P00220000,2021-08-20
IWM,P,225,IWM   210820P00225000,2021-08-20
IWM,P,227.59,"",2021-08-20
IWM,P,230,IWM   210820P00230000,2021-08-20
IWO,P,240,IWO   210820P00240000,2021-08-20
IWO,P,250,IWO   210820P00250000,2021-08-20
IWO,P,280,IWO   210820P00280000,2021-08-20
IWO,P,297.11,"",2021-08-20
IYR,C,81,IYR   210618C00081000,2021-06-18
IYR,C,95,IYR   210618C00095000,2021-06-18
IYR,C,99,IYR   210618C00099000,2021-06-18
IYR,C,100,IYR   210618C00100000,2021-06-18
IYR,C,102.91,"",2021-06-18
IYR,C,103,IYR   210618C00103000,2021-06-18
IYR,C,105,IYR   210618C00105000,2021-06-18
IYR,P,75,IYR   210618P00075000,2021-06-18
IYR,P,80,IYR   210618P00080000,2021-06-18
IYR,P,85,IYR   210618P00085000,2021-06-18
IYR,P,89,IYR   210618P00089000,2021-06-18
IYR,P,90,IYR   210618P00090000,2021-06-18
IYR,P,93,IYR   210618P00093000,2021-06-18
IYR,P,94,IYR   210618P00094000,2021-06-18
IYR,P,98,IYR   210618P00098000,2021-06-18
IYR,P,102.91,"",2021-06-18
IYR,C,102.91,"",2021-07-16
IYR,C,104,IYR   210716C00104000,2021-07-16
IZEA,C,2.91,"",2021-08-20
IZEA,C,5,IZEA  210820C00005000,2021-08-20
JAGX,C,1.75,"",2021-06-18
JAGX,C,2.5,JAGX  210618C00002500,2021-06-18
JAGX,C,1.75,"",2021-07-16
JAGX,C,2.5,JAGX  210716C00002500,2021-07-16
JAGX,C,1.75,"",2021-08-20
JAGX,C,2.5,JAGX  210820C00002500,2021-08-20
JAGX,C,5,JAGX  210820C00005000,2021-08-20
JAGX,C,7.5,JAGX  210820C00007500,2021-08-20
JAZZ,C,170,JAZZ  210618C00170000,2021-06-18
JAZZ,C,173.38,"",2021-06-18
JAZZ,P,140,JAZZ  210618P00140000,2021-06-18
JAZZ,P,170,JAZZ  210618P00170000,2021-06-18
JAZZ,P,173.38,"",2021-06-18
JBHT,C,167.23,"",2021-06-18
JBHT,C,180,JBHT  210618C00180000,2021-06-18
JBHT,P,160,JBHT  210618P00160000,2021-06-18
JBHT,P,167.23,"",2021-06-18
JBHT,P,170,JBHT  210618P00170000,2021-06-18
JBLU,C,18,JBLU  210618C00018000,2021-06-18
JBLU,C,19,JBLU  210618C00019000,2021-06-18
JBLU,C,19.14,"",2021-06-18
JBLU,C,20,JBLU  210618C00020000,2021-06-18
JBLU,C,21,JBLU  210618C00021000,2021-06-18
JBLU,C,22,JBLU  210618C00022000,2021-06-18
JBLU,C,25,JBLU  210618C00025000,2021-06-18
JCI,C,50,JCI   210716C00050000,2021-07-16
JCI,C,66.83,"",2021-07-16
JCI,C,67.5,JCI   210716C00067500,2021-07-16
JCI,P,60,JCI   210716P00060000,2021-07-16
JCI,P,66.83,"",2021-07-16
JD,C,70,JD    210618C00070000,2021-06-18
JD,C,75,JD    210618C00075000,2021-06-18
JD,C,75.37,"",2021-06-18
JD,C,77.5,JD    210618C00077500,2021-06-18
JD,C,80,JD    210618C00080000,2021-06-18
JD,C,82.5,JD    210618C00082500,2021-06-18
JD,C,85,JD    210618C00085000,2021-06-18
JD,C,87.5,JD    210618C00087500,2021-06-18
JD,C,90,JD    210618C00090000,2021-06-18
JD,C,92.5,JD    210618C00092500,2021-06-18
JD,C,95,JD    210618C00095000,2021-06-18
JD,C,100,JD    210618C00100000,2021-06-18
JD,C,105,JD    210618C00105000,2021-06-18
JD,C,110,JD    210618C00110000,2021-06-18
JD,C,115,JD    210618C00115000,2021-06-18
JD,C,120,JD    210618C00120000,2021-06-18
JD,C,125,JD    210618C00125000,2021-06-18
JD,C,130,JD    210618C00130000,2021-06-18
JD,P,55,JD    210618P00055000,2021-06-18
JD,P,60,JD    210618P00060000,2021-06-18
JD,P,62.5,JD    210618P00062500,2021-06-18
JD,P,65,JD    210618P00065000,2021-06-18
JD,P,67.5,JD    210618P00067500,2021-06-18
JD,P,70,JD    210618P00070000,2021-06-18
JD,P,72.5,JD    210618P00072500,2021-06-18
JD,P,73,JD    210618P00073000,2021-06-18
JD,P,75,JD    210618P00075000,2021-06-18
JD,P,75.37,"",2021-06-18
JD,P,77.5,JD    210618P00077500,2021-06-18
JD,P,80,JD    210618P00080000,2021-06-18
JD,P,82.5,JD    210618P00082500,2021-06-18
JD,P,85,JD    210618P00085000,2021-06-18
JD,P,87.5,JD    210618P00087500,2021-06-18
JD,P,90,JD    210618P00090000,2021-06-18
JD,P,95,JD    210618P00095000,2021-06-18
JD,C,70,JD    210716C00070000,2021-07-16
JD,C,72.5,JD    210716C00072500,2021-07-16
JD,C,75,JD    210716C00075000,2021-07-16
JD,C,75.37,"",2021-07-16
JD,C,80,JD    210716C00080000,2021-07-16
JD,C,85,JD    210716C00085000,2021-07-16
JD,C,90,JD    210716C00090000,2021-07-16
JD,P,67.5,JD    210716P00067500,2021-07-16
JD,P,70,JD    210716P00070000,2021-07-16
JD,P,72.5,JD    210716P00072500,2021-07-16
